timestamp,data
0,-1.642933
1,-0.975531
2,-1.357018
3,-0.450054
4,-0.599737
5,-2.897431
6,-3.126398
7,-2.193950
8,-0.922641
9,-0.300848
10,-1.183418
11,-0.818572
12,-3.521550
13,-2.980533
14,-2.417259
15,-0.085234
16,-3.169618
17,-0.792064
18,-1.542520
19,-1.828950
20,-2.248421
21,-2.396840
22,-2.964611
23,-3.244298
24,-3.215698
25,-0.833188
26,-2.420919
27,-0.410629
28,-0.599825
29,-2.802533
30,-3.357294
31,-1.164284
32,-1.865472
33,-3.538549
34,-2.910302
35,-3.653800
36,-2.140375
37,-1.851823
38,-2.948196
39,-2.861916
40,-0.183188
41,-2.718887
42,-0.970040
43,-1.621155
44,-2.284755
45,-1.766342
46,-2.658205
47,-2.379414
48,-2.448123
49,-2.004490
50,-1.346783
51,-1.621858
52,-3.706297
53,-1.999469
54,-3.610670
55,-0.606957
56,-0.741376
57,-2.995004
58,-3.477061
59,-3.062142
60,-0.075750
61,-3.319760
62,-2.293502
63,-1.646254
64,-0.679038
65,-0.543759
66,-2.089462
67,-1.628913
68,-1.825984
69,-3.584858
70,-2.940921
71,-1.513782
72,-0.182156
73,-2.657477
74,-3.071537
75,-3.949027
76,-2.655267
77,-0.946427
78,-0.066165
79,-3.865968
80,-3.402633
81,-2.689399
82,-3.472765
83,-2.574579
84,-2.042150
85,-3.878015
86,-0.241369
87,-0.869233
88,-0.024489
89,-0.687576
90,-1.047805
91,-0.879911
92,-0.145726
93,-0.946789
94,-2.574832
95,-1.777860
96,-2.763164
97,-1.690143
98,-3.167681
99,-1.179145
100,-0.528462
101,-2.512388
102,-0.349090
103,-3.980945
104,-2.861490
105,-0.918385
106,-0.423626
107,-1.422875
108,-1.638330
109,-3.672388
110,-0.258200
111,-3.436690
112,-2.462729
113,-3.536479
114,-3.146806
115,-3.052074
116,-0.071451
117,-3.335093
118,-2.378662
119,-2.294563
120,-0.149860
121,-3.226908
122,-0.464455
123,-1.448154
124,-1.756002
125,-3.372475
126,-0.266952
127,-1.571643
128,-3.010810
129,-1.673071
130,-0.900741
131,-0.146105
132,-2.728028
133,-2.135435
134,-1.946205
135,-1.273242
136,-0.394329
137,-3.768847
138,-0.420425
139,-1.677376
140,-2.036723
141,-2.731385
142,-0.905568
143,-0.545662
144,-2.496968
145,-3.959555
146,-1.360910
147,-3.689161
148,-0.622672
149,-3.812129
150,-1.425765
151,-2.602955
152,-3.492472
153,-0.003417
154,-0.329019
155,-1.084467
156,-3.660508
157,-3.674694
158,-1.982994
159,-3.753691
160,-2.118670
161,-3.668365
162,-2.172713
163,-2.834025
164,-3.176195
165,-0.876074
166,-2.796942
167,-0.658033
168,-0.749514
169,-3.209709
170,-2.414519
171,-3.697139
172,-0.118163
173,-3.226762
174,-0.236226
175,-3.201532
176,-0.140697
177,-1.521146
178,-2.036597
179,-3.727912
180,-0.536125
181,-0.289572
182,-1.691375
183,-1.877940
184,-3.873709
185,-2.199040
186,-3.990712
187,-2.139181
188,-0.457652
189,-0.236992
190,-3.669495
191,-0.818301
192,-0.776229
193,-3.089563
194,-1.418020
195,-2.605741
196,-1.732371
197,-3.639524
198,-2.960465
199,-0.893569
200,-2.745420
201,-3.104546
202,-3.471015
203,-3.047020
204,-2.369603
205,-1.781892
206,-2.808873
207,-0.899996
208,-2.287465
209,-1.446897
210,-2.645441
211,-2.976960
212,-2.735733
213,-2.656268
214,-3.092476
215,-2.024336
216,-3.542276
217,-1.604872
218,-2.735097
219,-3.414205
220,-2.211977
221,-3.119892
222,-2.132771
223,-2.084393
224,-0.030535
225,-2.878709
226,-3.893421
227,-0.131373
228,-2.776232
229,-0.246561
230,-2.728938
231,-0.271037
232,-0.523598
233,-3.838282
234,-1.318258
235,-0.089619
236,-0.750359
237,-2.350804
238,-2.927967
239,-2.543422
240,-3.840539
241,-1.869120
242,-2.410633
243,-1.159382
244,-1.607934
245,-2.633505
246,-0.993083
247,-1.278847
248,-1.054828
249,-2.711736
250,-0.304321
251,-0.204344
252,-3.529637
253,-0.536810
254,-1.163466
255,-2.773279
